cust_id,customer_name,status,created
CU2038,Granite Electrics Holdings,ACTIVE,2023-01-07
CU2039,Keystone Pharma-Free Trading,ACTIVE,2022-09-18
CU2040,Solstice Outdoors Group,ACTIVE,2026-01-31
CU2041,Umbra Beverages Holdings,ACTIVE,2025-03-30
CU2042,Mistral Textiles PLC,CLOSED,2023-02-01
CU2043,Keystone Marine Holdings,ACTIVE,2025-12-13
CU2044,Ember Builders PLC,ACTIVE,2022-07-03
CU2045,Tundra Garden Holdings,ACTIVE,2025-01-13
CU2046,Keystone Chemicals & Co,ACTIVE,2022-08-19
CU2047,Orchard Chemicals Holdings,CLOSED,2025-06-03
CU2048,Solstice Builders & Co,ACTIVE,2024-12-21
CU2049,Umbra Motors Group,ACTIVE,2022-12-10
CU2050,Ember Components & Co,ACTIVE,2025-03-05
CU2051,Ember Components Group,ACTIVE,2025-07-23
CU2052,Alfa Packaging Trading,CLOSED,2025-11-20
CU2053,Forge Marine Holdings,ACTIVE,2022-10-25
CU2054,Crest Beverages Group,ACTIVE,2022-12-24
CU2055,Zenith Beverages Group,ACTIVE,2023-03-24
CU2056,Iron Retail & Co,ACTIVE,2024-11-11
CU2057,Forge Foods & Co,ACTIVE,2022-06-04
CU2058,Umbra Electrics Holdings,CLOSED,2024-07-10
CU2059,Juno Chemicals PLC,CLOSED,2022-10-30
CU2060,North Beverages Ltd,ACTIVE,2024-04-12
CU2061,Solstice Outdoors Group,ACTIVE,2022-10-03
CU2062,Vector Textiles Ltd,ACTIVE,2023-06-02
CU2063,Quartz Foods Ltd,ACTIVE,2024-09-13
CU2064,Umbra Builders PLC,ACTIVE,2025-02-18
CU2065,Granite Print Group,ACTIVE,2023-12-07
CU2066,Yarrow Paper Ltd,ACTIVE,2024-10-12
CU2067,Crest Chemicals Ltd,ACTIVE,2024-05-25
CU2068,Bravo Foods Group,ACTIVE,2022-06-22
CU2069,Umbra Builders Holdings,ACTIVE,2023-08-20
CU2070,Mistral Marine PLC,ACTIVE,2024-09-25
CU2071,Orchard Marine PLC,ACTIVE,2025-01-01
CU2072,Bravo Retail Trading,CLOSED,2023-10-19
CU2073,Mistral Electrics Group,ACTIVE,2022-08-30
CU2074,Iron Packaging Group,ACTIVE,2022-08-10
CU2075,Quartz Print Trading,CLOSED,2023-09-06
CU2076,Wexford Paper PLC,ACTIVE,2023-10-20
CU2077,Tundra Marine Holdings,ACTIVE,2025-12-30
CU2078,Granite Paper Group,ACTIVE,2024-10-14
CU2079,Solstice Chemicals PLC,CLOSED,2023-08-18
CU2080,Orchard Packaging PLC,CLOSED,2022-08-25
CU2081,Granite Paper Group,CLOSED,2023-05-19
CU2082,Juno Builders Ltd,CLOSED,2024-03-25
CU2083,Quartz Beverages Trading,ACTIVE,2022-06-16
CU2084,Pinnacle Motors PLC,ACTIVE,2023-05-23
CU2085,Mistral Garden Holdings,ACTIVE,2024-01-21
CU2086,Forge Print & Co,CLOSED,2024-08-30
CU2087,Umbra Print Holdings,ACTIVE,2026-01-31
CU2088,Vector Electrics Ltd,ACTIVE,2024-12-25
CU2089,North Foods Trading,CLOSED,2024-09-11
CU2090,Keystone Retail PLC,ACTIVE,2023-10-28
CU2091,Zenith Outdoors & Co,ACTIVE,2023-07-05
CU2092,Crest Garden Holdings,ACTIVE,2023-05-01
CU2093,Rampart Foods & Co,ACTIVE,2023-09-10
CU2094,Vector Chemicals & Co,ACTIVE,2024-12-19
CU2095,Rampart Packaging & Co,ACTIVE,2022-02-27
CU2096,Forge Components Trading,ACTIVE,2025-12-04
CU2097,Crest Paper PLC,CLOSED,2024-10-13
CU2098,Granite Components Holdings,ACTIVE,2025-03-21
CU2099,Bravo Outdoors Group,CLOSED,2022-05-29
CU2100,Zenith Beverages Group,ACTIVE,2024-09-29
CU2101,Wexford Marine Trading,CLOSED,2025-07-22
CU2102,Crest Retail Ltd,ACTIVE,2022-11-06
CU2103,Juno Garden Holdings,CLOSED,2023-09-06
CU2104,Quartz Outdoors & Co,ACTIVE,2022-04-28
CU2105,Tundra Print & Co,ACTIVE,2025-04-03
CU2106,Granite Pharma-Free Trading,ACTIVE,2022-11-03
CU2107,Crest Chemicals & Co,CLOSED,2022-05-30
CU2108,Umbra Builders & Co,ACTIVE,2022-12-09
CU2109,Mistral Print Holdings,ACTIVE,2025-06-24
CU2110,Harbor Marine PLC,ACTIVE,2025-05-03
CU2111,Vector Pharma-Free PLC,ACTIVE,2023-08-31
CU2112,Juno Textiles Ltd,ACTIVE,2022-06-12
CU2113,Alfa Electrics PLC,ACTIVE,2025-10-27
CU2114,Umbra Components & Co,ACTIVE,2025-03-16
CU2115,Orchard Pharma-Free Trading,ACTIVE,2025-10-25
CU2116,Forge Foods & Co,ACTIVE,2022-06-20
CU2117,Mistral Chemicals Holdings,ACTIVE,2024-06-02
CU2118,Mistral Beverages Holdings,ACTIVE,2025-09-18
CU2119,Pinnacle Components Group,CLOSED,2022-07-01
CU2120,Rampart Builders Group,ACTIVE,2022-10-15
CU2121,Iron Marine PLC,ACTIVE,2023-10-08
CU2122,North Textiles & Co,CLOSED,2024-07-21
CU2123,Lumen Textiles Ltd,ACTIVE,2022-06-29
CU2124,Juno Print PLC,ACTIVE,2022-04-02
CU2125,Alfa Chemicals PLC,CLOSED,2025-09-22
CU2126,Harbor Components PLC,ACTIVE,2024-09-22
CU2127,Mistral Garden Holdings,ACTIVE,2023-03-11
CU2128,Delta Retail & Co,ACTIVE,2022-11-23
CU2129,Forge Components & Co,CLOSED,2022-03-17
CU2130,Orchard Chemicals & Co,ACTIVE,2022-01-27
CU2131,Zenith Garden & Co,ACTIVE,2023-06-16
CU2132,Harbor Garden Holdings,ACTIVE,2022-09-02
CU2133,Mistral Foods Ltd,ACTIVE,2023-01-10
CU2134,Alfa Beverages & Co,ACTIVE,2023-04-13
CU2135,Keystone Pharma-Free Trading,ACTIVE,2024-05-07
CU2136,Tundra Foods Holdings,ACTIVE,2023-02-27
CU2137,Wexford Components Ltd,ACTIVE,2022-08-15
CU2138,North Retail PLC,CLOSED,2022-05-01
CU2139,North Components Group,ACTIVE,2024-01-22
CU2140,Mistral Retail Holdings,ACTIVE,2025-05-01
CU2141,Quartz Print Ltd,ACTIVE,2024-09-16
CU2142,Quartz Marine PLC,ACTIVE,2022-01-26
CU2143,Juno Chemicals & Co,CLOSED,2023-08-23
CU2144,Vector Pharma-Free & Co,ACTIVE,2024-08-11
CU2145,Bravo Electrics & Co,ACTIVE,2023-03-10
CU2146,Juno Builders Holdings,ACTIVE,2025-09-18
CU2147,Quartz Electrics & Co,CLOSED,2024-03-18
CU2148,Iron Chemicals Group,ACTIVE,2023-10-23
CU2149,Vector Packaging Trading,ACTIVE,2023-01-05
CU2150,Umbra Textiles Ltd,ACTIVE,2024-04-11
CU2151,Bravo Retail Group,CLOSED,2022-06-17
CU2152,Juno Electrics & Co,ACTIVE,2023-03-25
CU2153,Zenith Packaging PLC,ACTIVE,2023-01-03
CU2154,Alfa Marine PLC,ACTIVE,2025-07-12
CU2155,Mistral Packaging Trading,ACTIVE,2025-11-11
CU2156,North Outdoors PLC,ACTIVE,2023-01-19
CU2157,Forge Packaging Holdings,ACTIVE,2023-06-14
CU2158,Quartz Retail & Co,CLOSED,2024-04-12
CU2159,Tundra Chemicals PLC,ACTIVE,2022-12-15
CU2160,Juno Pharma-Free & Co,ACTIVE,2025-01-30
CU2161,Granite Foods PLC,ACTIVE,2022-01-25
CU2162,Delta Electrics Group,ACTIVE,2024-07-12
CU2163,Granite Components PLC,ACTIVE,2025-04-14
CU2164,Bravo Components & Co,ACTIVE,2023-05-13
CU2165,Crest Builders & Co,ACTIVE,2025-11-28
CU2166,Keystone Chemicals & Co,ACTIVE,2025-10-03
CU2167,Juno Beverages & Co,CLOSED,2024-10-24
CU2168,Rampart Pharma-Free Ltd,ACTIVE,2025-04-08
